mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.886758804321289,0.04341985988833884,0.015859524408976238,0.002023721789146962,0.7,0.01,3,1,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.7}",0.5482416591523895,0.5383228133453561,0.5333935018050542,0.5399859914342666,0.00617476397224386,5
1.8791510264078777,0.09590949962795363,0.015708525975545246,0.004398054326023437,0.7,0.01,3,1,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8}",0.5446348061316502,0.5383228133453561,0.5388086642599278,0.5405887612456447,0.0028678531101941906,3
1.7567455768585205,0.04746324169331677,0.024019161860148113,0.013380989661132528,0.7,0.01,3,1,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9}",0.5446348061316502,0.5365193868349865,0.5397111913357401,0.5402884614341256,0.0033381569930160467,4
1.8958384990692139,0.022956837151476332,0.016634066899617512,0.00043655044422566077,0.7,0.01,3,3,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.7}",0.545536519386835,0.5383228133453561,0.5333935018050542,0.5390842781790818,0.00498652120003583,21
1.806852658589681,0.0475185329557038,0.01587049166361491,0.004397489783107849,0.7,0.01,3,3,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8}",0.5410279531109107,0.5365193868349865,0.5388086642599278,0.538785334735275,0.0018406883976999275,24
1.7642914454142253,0.040463408781818026,0.016719897588094074,0.004531036202829697,0.7,0.01,3,3,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.9}",0.5446348061316502,0.5347159603246168,0.5370036101083032,0.53878479218819,0.004240702201067529,25
1.7916022936503093,0.028157204441259766,0.016347646713256836,0.003289055120676474,0.7,0.01,3,5,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.7}",0.5473399458972047,0.5374211000901713,0.5333935018050542,0.5393848492641434,0.005860492517276287,15
1.7849454879760742,0.07849833613487249,0.012862523396809896,0.0002367278657060156,0.7,0.01,3,5,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8}",0.5437330928764653,0.5365193868349865,0.5370036101083032,0.5390853632732516,0.003292381194317856,19
1.7609279950459797,0.09516931475569029,0.013663132985432943,0.00047277573964937087,0.7,0.01,3,5,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.9}",0.545536519386835,0.5356176735798016,0.5370036101083032,0.5393859343583133,0.004385770716006137,13
2.4074395497639975,0.09214210902780248,0.02020994822184245,0.0019923480513257003,0.7,0.01,4,1,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.7}",0.5437330928764653,0.5320108205590622,0.5424187725631769,0.5393875619995682,0.0052436688925178295,11
2.525357723236084,0.09801487834024356,0.018123547236124676,0.00037788165629294994,0.7,0.01,4,1,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.5446348061316502,0.527502254283138,0.5388086642599278,0.5369819082249053,0.007112611401311874,49
2.5541932582855225,0.05686552193544209,0.023227373758951824,0.0010146322625326886,0.7,0.01,4,1,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9}",0.5410279531109107,0.5311091073038774,0.5342960288808665,0.5354776964318848,0.004134660742775458,73
2.4593212604522705,0.015938721696860968,0.020890076955159504,0.000797198534391174,0.7,0.01,4,3,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.7}",0.5428313796212805,0.5320108205590622,0.5442238267148014,0.5396886756317147,0.0054587435132122455,6
2.2551019191741943,0.05051057337013968,0.017435868581136067,0.0013002685313409513,0.7,0.01,4,3,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8}",0.5482416591523895,0.5284039675383229,0.5379061371841155,0.5381839212916093,0.00810108532446877,35
2.431731621424357,0.05179313154338894,0.01906132698059082,0.0007909348217792181,0.7,0.01,4,3,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.9}",0.5419296663660956,0.5293056807935077,0.5333935018050542,0.5348762829882192,0.005259292282052668,84
2.515007495880127,0.13542940549750493,0.05638440450032552,0.026464231816807137,0.7,0.01,4,5,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.7}",0.5419296663660956,0.5311091073038774,0.5406137184115524,0.5378841640271751,0.004820717440222154,40
