date,home_team,away_team,home_score,away_score,league,season
10/19/22,Bournemouth,Southampton,0,1,premierleague,2022
N/A,Brentford,Chelsea,0,0,premierleague,2022
N/A,Newcastle,Everton,1,0,premierleague,2022
N/A,Liverpool,West Ham,1,0,premierleague,2022
N/A,Man Utd,Tottenham,2,0,premierleague,2022
10/20/22,Fulham,Aston Villa,3,0,premierleague,2022
N/A,Leicester,Leeds,2,0,premierleague,2022
2/15/23,Arsenal,Man City,1,3,premierleague,2022
10/22/22,Nottm Forest,Liverpool,1,0,premierleague,2022
N/A,Everton,Crystal Palace,3,0,premierleague,2022
N/A,Man City,Brighton,3,1,premierleague,2022
N/A,Chelsea,Man Utd,1,1,premierleague,2022
10/23/22,Aston Villa,Brentford,4,0,premierleague,2022
N/A,Leeds,Fulham,2,3,premierleague,2022
N/A,Southampton,Arsenal,1,1,premierleague,2022
N/A,Wolves,Leicester,0,4,premierleague,2022
N/A,Tottenham,Newcastle,1,2,premierleague,2022
10/24/22,West Ham,Bournemouth,2,0,premierleague,2022
10/29/22,Leicester,Man City,0,1,premierleague,2022
N/A,Bournemouth,Tottenham,2,3,premierleague,2022
N/A,Brentford,Wolves,1,1,premierleague,2022
N/A,Brighton,Chelsea,4,1,premierleague,2022
N/A,Crystal Palace,Southampton,1,0,premierleague,2022
N/A,Newcastle,Aston Villa,4,0,premierleague,2022
N/A,Fulham,Everton,0,0,premierleague,2022
N/A,Liverpool,Leeds,1,2,premierleague,2022
10/30/22,Arsenal,Nottm Forest,5,0,premierleague,2022
N/A,Man Utd,West Ham,1,0,premierleague,2022
11/5/22,Leeds,Bournemouth,4,3,premierleague,2022
N/A,Man City,Fulham,2,1,premierleague,2022
N/A,Nottm Forest,Brentford,2,2,premierleague,2022
N/A,Wolves,Brighton,2,3,premierleague,2022
N/A,Everton,Leicester,0,2,premierleague,2022
11/6/22,Chelsea,Arsenal,0,1,premierleague,2022
N/A,Aston Villa,Man Utd,3,1,premierleague,2022
N/A,Southampton,Newcastle,1,4,premierleague,2022
N/A,West Ham,Crystal Palace,1,2,premierleague,2022
N/A,Tottenham,Liverpool,1,2,premierleague,2022
11/12/22,Man City,Brentford,1,2,premierleague,2022
N/A,Bournemouth,Everton,3,0,premierleague,2022
N/A,Liverpool,Southampton,3,1,premierleague,2022
N/A,Nottm Forest,Crystal Palace,1,0,premierleague,2022
N/A,Tottenham,Leeds,4,3,premierleague,2022
N/A,West Ham,Leicester,0,2,premierleague,2022
N/A,Newcastle,Chelsea,1,0,premierleague,2022
N/A,Wolves,Arsenal,0,2,premierleague,2022
11/13/22,Brighton,Aston Villa,1,2,premierleague,2022
N/A,Fulham,Man Utd,1,2,premierleague,2022
12/26/22,Brentford,Tottenham,2,2,premierleague,2022
N/A,Crystal Palace,Fulham,0,3,premierleague,2022
N/A,Everton,Wolves,1,2,premierleague,2022
N/A,Leicester,Newcastle,0,3,premierleague,2022
N/A,Southampton,Brighton,1,3,premierleague,2022
N/A,Aston Villa,Liverpool,1,3,premierleague,2022
N/A,Arsenal,West Ham,3,1,premierleague,2022
12/27/22,Chelsea,Bournemouth,2,0,premierleague,2022
N/A,Man Utd,Nottm Forest,3,0,premierleague,2022
12/28/22,Leeds,Man City,1,3,premierleague,2022
12/30/22,West Ham,Brentford,0,2,premierleague,2022
N/A,Liverpool,Leicester,2,1,premierleague,2022
12/31/22,Wolves,Man Utd,0,1,premierleague,2022
N/A,Bournemouth,Crystal Palace,0,2,premierleague,2022
N/A,Fulham,Southampton,2,1,premierleague,2022
N/A,Man City,Everton,1,1,premierleague,2022
N/A,Newcastle,Leeds,0,0,premierleague,2022
N/A,Brighton,Arsenal,2,4,premierleague,2022
1/1/23,Tottenham,Aston Villa,0,2,premierleague,2022
N/A,Nottm Forest,Chelsea,1,1,premierleague,2022
1/2/23,Brentford,Liverpool,3,1,premierleague,2022
1/3/23,Arsenal,Newcastle,0,0,premierleague,2022
N/A,Everton,Brighton,1,4,premierleague,2022
N/A,Leicester,Fulham,0,1,premierleague,2022
N/A,Man Utd,Bournemouth,3,0,premierleague,2022
1/4/23,Southampton,Nottm Forest,0,1,premierleague,2022
N/A,Leeds,West Ham,2,2,premierleague,2022
N/A,Aston Villa,Wolves,1,1,premierleague,2022
N/A,Crystal Palace,Tottenham,0,4,premierleague,2022
1/5/23,Chelsea,Man City,0,1,premierleague,2022
1/13/23,Aston Villa,Leeds,2,1,premierleague,2022
1/14/23,Man Utd,Man City,2,1,premierleague,2022
N/A,Brighton,Liverpool,3,0,premierleague,2022
N/A,Wolves,West Ham,1,0,premierleague,2022
N/A,Nottm Forest,Leicester,2,0,premierleague,2022
N/A,Everton,Southampton,1,2,premierleague,2022
N/A,Brentford,Bournemouth,2,0,premierleague,2022
1/15/23,Chelsea,Crystal Palace,1,0,premierleague,2022
N/A,Newcastle,Fulham,1,0,premierleague,2022
N/A,Tottenham,Arsenal,0,2,premierleague,2022
1/21/23,Liverpool,Chelsea,0,0,premierleague,2022
N/A,Bournemouth,Nottm Forest,1,1,premierleague,2022
N/A,West Ham,Everton,2,0,premierleague,2022
N/A,Southampton,Aston Villa,0,1,premierleague,2022
N/A,Leicester,Brighton,2,2,premierleague,2022
N/A,Crystal Palace,Newcastle,0,0,premierleague,2022
